generation,score
1,192
2,1527
3,2232
4,2295
5,2299
6,2526
7,3044
8,2352
9,2384
10,2374
11,2427
12,2452
13,2502
14,2384
15,2308
16,2308
17,2536
18,2373
19,2899
20,2655
21,2434
22,2449
23,2455
24,3131
25,2519
26,2652
27,2506
28,2502
29,2529
30,2427
31,2374
32,2578
33,2836
34,2607
35,2502
36,2682
37,2601
38,2441
39,2385
40,2536
41,2502
42,2458
43,2502
44,2451
45,2433
46,2729
47,2427
48,2427
49,2443
50,2377
51,2385
52,2527
53,2727
54,2609
55,2458
56,2605
57,2652
58,2366
59,2352
60,2825
61,2675
62,2502
63,2380
64,2438
65,2596
66,2727
67,2453
68,2440
69,2453
70,3060
71,2303
72,2602
73,2977
74,2652
75,2753
76,2377
77,2533
78,2577
79,2288
80,2532
81,2381
82,2435
83,2386
84,2604
85,2526
86,2527
87,2520
88,2579
89,2737
90,2727
91,2442
92,2521
93,2603
94,2727
95,2440
96,2728
97,2502
98,2587
99,2980
100,2727
101,2577
102,2827
103,2580
104,2365
105,2305
106,2577
107,3048
108,2460
109,2436
110,2502
111,2804
112,2686
113,2527
114,2381
115,2678
116,2457
117,2427
118,2366
119,2439
120,2427
121,2451
122,2578
123,2309
124,2984
125,2531
126,2427
127,2450
128,2731
129,2956
130,2502
131,2680
132,2449
133,2447
134,2807
135,2577
136,2449
137,2756
138,2674
139,2825
140,2527
141,2427
142,2527
143,2577
144,2802
145,2577
146,2577
147,2577
148,2652
149,2428
150,2581
151,2983
152,2976
153,2384
154,2833
155,2502
156,2727
157,2454
158,2678
159,2296
160,2534
161,3102
162,2502
163,2432
164,2450
165,2973
166,2502
167,2453
168,2603
169,2524
170,2534
171,2510
172,2527
173,2434
174,2461
175,2531
176,2461
177,2309
178,2605
179,2368
180,2535
181,2675
182,2675
183,2454
184,2535
185,2759
186,2603
187,2455
188,2430
189,2457
190,2384
191,2383
192,2308
193,2427
194,2352
195,2304
196,2352
197,2458
198,2526
199,2502
200,2679
201,2599
202,2455
203,2375
204,2363
205,2304
206,2427
207,2752
208,2309
209,2727
210,2450
211,2596
212,2727
213,2599
214,2456
215,2577
216,2529
217,2311
218,2683
219,2378
220,2684
221,2369
222,2534
223,2452
224,2304
225,2277
226,2533
227,2381
228,2457
229,2353
230,2277
231,3029
232,2427
233,2370
234,2230
235,2354
236,2450
237,2442
238,2306
239,2456
240,2298
241,2304
242,2277
243,2510
244,2363
245,2521
246,2427
247,2577
248,2381
249,2291
250,2289
251,2229
252,2277
253,2352
254,2449
255,2231
256,2146
257,2371
258,2301
259,2383
260,2375
261,2502
262,2528
263,2457
264,2385
265,2510
266,2535
267,2307
268,2533
269,3358
270,2736
271,2437
272,2835
273,2733
274,2458
275,2507
276,2452
277,2610
278,2536
279,2305
280,2598
281,2427
282,2507
283,2308
284,2652
285,2592
286,2602
287,2502
288,2813
289,2277
290,2658
291,2459
292,2521
293,2502
294,2803
295,2894
296,2519
297,2520
298,2352
299,2445
300,2601
301,2577
302,2531
303,2386
304,2675
305,2518
306,2446
307,2577
308,3627
309,2682
310,2427
311,2508
312,2599
313,4377
314,2652
315,2434
316,2503
317,2652
318,2577
319,2502
320,2294
321,2381
322,3127
323,2528
324,2523
325,2755
326,2652
327,2447
328,2761
329,2536
330,3027
331,2761
332,3579
333,2754
334,2909
335,2822
336,2754
337,2427
338,2682
339,2455
340,2973
341,2802
342,3027
343,2652
344,2906
345,2458
346,3027
347,2983
348,2972
349,2601
350,2451
351,3402
352,2307
353,2758
354,2877
355,2502
356,2577
357,3177
358,2450
359,3280
360,2677
361,2678
362,2460
363,2603
364,3134
365,2952
366,2831
367,2502
368,2536
369,2374
370,2532
371,2604
372,2577
373,3027
374,2828
375,2455
376,2605
377,2384
378,2754
379,2754
380,2756
381,2652
382,2953
383,2379
384,2427
385,2525
386,2577
387,2652
388,2900
389,3124
390,2427
391,2983
392,2952
393,2743
394,2984
395,3059
396,2802
397,2454
398,2821
399,2606
400,2877
401,2981
402,2502
403,2577
404,2502
405,3507
406,2455
407,2577
408,2802
409,2536
410,2905
411,2680
412,3102
413,3060
414,2577
415,2427
416,2757
417,2910
418,2455
419,2457
420,2449
421,3507
422,2577
423,2528
424,2427
425,2676
426,3402
427,2877
428,2457
429,3102
430,2455
431,2652
432,2877
433,2761
434,2652
435,3051
436,2502
437,2652
438,2502
439,2652
440,3355
441,2606
442,2756
443,2674
444,2502
445,3327
446,2427
447,2976
448,2502
449,2675
450,2607
451,2680
452,2825
453,3129
454,2458
455,2727
456,2611
457,2606
458,2530
459,3102
460,3177
461,2610
462,2727
463,3552
464,2911
465,2877
466,3477
467,2532
468,3054
469,2759
470,2979
471,2952
472,3126
473,2760
474,3027
475,2577
476,3627
477,2829
478,2652
479,2604
480,3252
481,2910
482,2609
483,2802
484,3702
485,2608
486,2753
487,2902
488,2836
489,2952
490,2755
491,2976
492,2603
493,2684
494,2606
495,2825
496,2680
497,2676
498,2903
499,2529
500,2525
501,2611
502,2528
503,2652
504,2877
505,2530
506,3027
507,3054
508,3576
509,2502
510,2825
511,2683
512,2577
513,2905
514,2606
515,2577
516,2898
517,3136
518,3102
519,2577
520,2455
521,2727
522,3253
523,2577
524,2802
525,2652
526,2577
527,3053
528,3177
529,2901
530,3434
531,3574
532,2608
533,2727
534,2975
535,2905
536,2986
537,2802
538,3059
539,2685
540,2577
541,2577
542,2802
543,2534
544,2652
545,3136
546,3060
547,3177
548,2456
549,2502
550,2979
551,2604
552,2952
553,2502
554,2456
555,3027
556,2450
557,2577
558,2533
559,2652
560,2835
561,2735
562,2952
563,3552
564,2608
565,2824
566,2528
567,2682
568,3038
569,2530
570,2503
571,2460
572,2727
573,2455
574,2877
575,3135
576,2527
577,2534
578,2681
579,2502
580,2458
581,3177
582,2461
583,2982
584,2310
585,2526
586,2528
587,2679
588,2608
589,2427
590,2352
591,3552
592,2900
593,2984
594,2909
595,2534
596,2952
597,3353
598,2606
599,2952
600,3552
601,3177
602,3252
603,2601
604,2502
605,3286
606,2727
607,4302
608,2606
609,3058
610,2517
611,2754
612,2681
613,2682
614,2806
615,2577
616,2583
617,2502
